order_id,customer_id,created_at,order_rank,attributed_channel,utm_medium,total_price,discount_code,discount_amount,discount_used,month,discount_status
5698371387644,7482347028732.0,2024-05-19,1,Paid Search,,37.99,,0.0,False,2024-05,No Discount
5698351366396,7482310590716.0,2024-05-19,1,Paid Search,,116.0,,0.0,False,2024-05,No Discount
5698303885564,7482230440188.0,2024-05-19,1,Email,,44.0,xxx,0.0,True,2024-05,No Discount
5698299101436,7482222182652.0,2024-05-19,1,XYZ media,user_4,116.0,xxx,0.0,True,2024-05,No Discount
5698333016316,7482275234044.0,2024-05-19,1,Paid Search,,290.0,,0.0,False,2024-05,No Discount
5698279276796,7482192199932.0,2024-05-19,1,Email,,120.0,,0.0,False,2024-05,No Discount
5698288845052,7482204913916.0,2024-05-19,1,Paid Search,,106.0,,0.0,False,2024-05,No Discount
5750058942716,7541915418876.0,2024-06-30,1,Paid Search,,80.0,,0.0,False,2024-06,No Discount
5750048260348,7541903687932.0,2024-06-30,1,Paid Search,,110.0,xxx,0.0,True,2024-06,No Discount
5750038561020,6377619751164.0,2024-06-30,11,Paid Search,,440.0,,0.0,False,2024-06,No Discount
5749938553084,7541781922044.0,2024-06-30,1,XYZ media,user_6,80.0,xxx,0.0,True,2024-06,No Discount
5749996060924,7443610108156.0,2024-06-30,2,Email,,64.0,,0.0,False,2024-06,No Discount
5749992227068,7491699540220.0,2024-06-30,4,Email,,64.0,,0.0,False,2024-06,No Discount
5749900345596,7541728608508.0,2024-06-30,1,Paid Search,,64.0,,0.0,False,2024-06,No Discount
5749884813564,7291986313468.0,2024-06-30,4,direct traffic,,0.0,xxx,80.0,True,2024-06,Free Gift
5749869117692,7037709582588.0,2024-06-30,6,direct traffic,,0.0,xxx,80.0,True,2024-06,Free Gift
5749820129532,7510058729724.0,2024-06-30,3,direct traffic,,0.0,xxx,145.0,True,2024-06,Free Gift
5749767209212,7483992375548.0,2024-06-30,5,Email,,47.99,xxx,15.0,True,2024-06,Discount Applied
5749806006524,7541616673020.0,2024-06-30,1,direct traffic,,96.0,xxx,0.0,True,2024-06,No Discount
5749801910524,6641577132284.0,2024-06-30,12,Email,,125.0,xxx,15.0,True,2024-06,Discount Applied
5749775958268,7450218430716.0,2024-06-30,1,Paid Search,,96.0,,0.0,False,2024-06,No Discount
5749753118972,6023924187388.0,2024-06-30,10,Paid Search,,120.0,,0.0,False,2024-06,No Discount
5749705867516,7474556174588.0,2024-06-30,1,direct traffic,,37.99,,0.0,False,2024-06,No Discount
5749752332540,7541548482812.0,2024-06-30,1,Affiliates,,170.0,xxx,30.0,True,2024-06,Discount Applied
5749717467388,7541512536316.0,2024-06-30,1,Paid Search,,116.0,xxx,0.0,True,2024-06,No Discount
5749710586108,6388805304572.0,2024-06-30,18,Paid Search,,80.0,,0.0,False,2024-06,No Discount
5749596750076,7465269723388.0,2024-06-30,3,Email,,88.0,,0.0,False,2024-06,No Discount
5749617328380,7541423243516.0,2024-06-30,1,direct traffic,,44.0,xxx,0.0,True,2024-06,No Discount
5749594554620,6484954022140.0,2024-06-30,7,Paid Search,,52.99,,0.0,False,2024-06,No Discount
5749614510332,7541414494460.0,2024-06-30,1,Paid Search,,96.0,xxx,0.0,True,2024-06,No Discount
5749587214588,7541399879932.0,2024-06-30,1,Paid Search,,219.0,,0.0,False,2024-06,No Discount
5749492580604,7541328412924.0,2024-06-30,1,Email,,44.0,xxx,0.0,True,2024-06,No Discount
5749525577980,6505740206332.0,2024-06-30,7,Paid Search,,75.0,,0.0,False,2024-06,No Discount
5749519778044,7509731311868.0,2024-06-30,2,Email,,160.0,xxx,0.0,True,2024-06,No Discount
5749489697020,7541325725948.0,2024-06-30,1,Paid Search,,64.0,,0.0,False,2024-06,No Discount
5749481046268,7541318320380.0,2024-06-30,1,Paid Search,,145.0,xxx,0.0,True,2024-06,No Discount
5749363474684,7218236653820.0,2024-06-30,3,Paid Search,,110.0,,0.0,False,2024-06,No Discount
5749390704892,7541244723452.0,2024-06-30,1,direct traffic,,120.0,xxx,0.0,True,2024-06,No Discount
5749375893756,7440781934844.0,2024-06-30,2,direct traffic,,110.0,,0.0,False,2024-06,No Discount
5749340078332,7321523192060.0,2024-06-30,1,Email,,120.0,xxx,0.0,True,2024-06,No Discount
5749302657276,7440630087932.0,2024-06-30,2,direct traffic,,37.99,,0.0,False,2024-06,No Discount
5749245903100,7527995244796.0,2024-06-30,2,Paid Search,,37.99,,0.0,False,2024-06,No Discount
5749353906428,7541216510204.0,2024-06-30,1,Paid Search,,64.0,,0.0,False,2024-06,No Discount
5749196325116,6902620389628.0,2024-06-30,12,direct traffic,,64.0,,0.0,False,2024-06,No Discount
5749174272252,6241001373948.0,2024-06-30,22,Email,,64.0,,0.0,False,2024-06,No Discount
5749170012412,7529779429628.0,2024-06-30,1,Email,,80.0,xxx,0.0,True,2024-06,No Discount
5749166211324,5981397090556.0,2024-06-30,7,Email,,145.0,,0.0,False,2024-06,No Discount
5749142257916,6587040530684.0,2024-06-30,2,Paid Search,,160.0,,0.0,False,2024-06,No Discount
5749131116796,7541036581116.0,2024-06-30,1,Paid Search,,702.0,xxx,0.0,True,2024-06,No Discount
5749112471804,6618647363836.0,2024-06-30,10,Email,,120.0,xxx,30.0,True,2024-06,Discount Applied
5749082161404,7540988444924.0,2024-06-30,1,Paid Search,,64.0,,0.0,False,2024-06,No Discount
5749080686844,7082173825276.0,2024-06-30,1,Paid Search,,62.99,xxx,0.0,True,2024-06,No Discount
5749076820220,7540983595260.0,2024-06-30,1,direct traffic,,64.0,xxx,0.0,True,2024-06,No Discount
5749037859068,7540943454460.0,2024-06-29,1,Paid Search,,101.0,,0.0,False,2024-06,No Discount
5748976976124,5587787710653.0,2024-06-29,4,direct traffic,,116.0,,0.0,False,2024-06,No Discount
5748948336892,7540851114236.0,2024-06-29,1,Paid Search,,145.0,,0.0,False,2024-06,No Discount
5748907704572,7006649352444.0,2024-06-29,5,Affiliates,,64.0,,0.0,False,2024-06,No Discount
5748875591932,7540765229308.0,2024-06-29,1,Paid Search,,200.0,,0.0,False,2024-06,No Discount
5748871627004,7540759593212.0,2024-06-29,1,Email,,64.0,xxx,0.0,True,2024-06,No Discount
5748858159356,7540741177596.0,2024-06-29,1,Paid Search,,160.0,,0.0,False,2024-06,No Discount
5748830830844,7521577173244.0,2024-06-29,2,Paid Search,,145.0,,0.0,False,2024-06,No Discount
5749223358716,7523810148604.0,2024-06-30,2,Email,,37.99,,0.0,False,2024-06,No Discount
5749203927292,7163909144828.0,2024-06-30,10,Email,,96.0,,0.0,False,2024-06,No Discount
5748780531964,6079265210620.0,2024-06-29,7,Paid Search,,96.0,,0.0,False,2024-06,No Discount
5748788166908,6038020882684.0,2024-06-29,10,direct traffic,,0.0,xxx,30.0,True,2024-06,Free Gift
5748769849596,7539692601596.0,2024-06-29,2,direct traffic,,0.0,xxx,30.0,True,2024-06,Free Gift
5748779122940,7540610072828.0,2024-06-29,1,Email,,160.0,xxx,0.0,True,2024-06,No Discount
5748765556988,7525288247548.0,2024-06-29,2,direct traffic,,0.0,xxx,120.0,True,2024-06,Free Gift
5748697694460,7535294775548.0,2024-06-29,1,Affiliates,,72.0,xxx,8.0,True,2024-06,Discount Applied
5748717814012,7440297689340.0,2024-06-29,5,direct traffic,,0.0,xxx,145.0,True,2024-06,Free Gift
5748623180028,7540496400636.0,2024-06-29,1,Paid Search,,90.0,,0.0,False,2024-06,No Discount
5748654670076,7540286128380.0,2024-06-29,1,direct traffic,,0.0,xxx,0.0,True,2024-06,Unknown
5748649984252,7318732439804.0,2024-06-29,9,Email,,290.0,xxx,15.0,True,2024-06,Discount Applied
5748640645372,7342973714684.0,2024-06-29,3,Email,,49.0,xxx,15.0,True,2024-06,Discount Applied
5748624228604,7540496040188.0,2024-06-29,1,Paid Search,,0.0,,0.0,False,2024-06,Unknown
5748611776764,7473704927484.0,2024-06-29,2,Paid Search,,160.0,,0.0,False,2024-06,No Discount
5748609286396,7540461601020.0,2024-06-29,1,Email,,320.0,xxx,0.0,True,2024-06,No Discount
5748582809852,7540424704252.0,2024-06-29,1,Paid Search,,37.99,,0.0,False,2024-06,No Discount
5748593656060,7532344901884.0,2024-06-29,1,Paid Search,,64.0,xxx,0.0,True,2024-06,No Discount
5748578091260,7472478552316.0,2024-06-29,2,Paid Search,,88.0,,0.0,False,2024-06,No Discount
5748539490556,6866222776572.0,2024-06-29,7,direct traffic,,0.0,xxx,145.0,True,2024-06,Free Gift
